"","pr","X0"
"1253",3036,0
"1254",3038,0
"1255",3039,0
"1256",3043,0
"1257",3044,0
"1258",3045,0
"1259",3046,0
"1260",3047,0
"1261",3049,0
"1262",3051,0
"1263",3052,0
"1264",3053,0
"1265",3054,0
"1266",3055,0
"1267",3056,0
"1268",3057,0
"1269",3059,0
"1270",3062,0
"1271",3063,0
"1272",3064,0
"1273",3066,0
"1274",3067,0
"1275",3068,0
"1276",3080,0
"1277",3081,0
"1278",3086,0
"1279",3087,0
"1280",3088,0
"1281",3099,0
"1282",3100,0
"1283",3101,0
"1284",3102,0
"1285",3103,0
"1286",3106,0
"1287",3112,0
"1288",3113,0
"1289",3115,0
"1290",3117,0
"1291",3118,0
"1292",3119,0
"1293",3121,0
"1294",3122,0
"1295",3127,0
"1296",3129,0
"1297",3130,0
"1298",3131,0
"1299",3132,0
"1300",3133,0
"1301",3134,0
"1302",3136,0
"1303",3138,0
"1304",3139,0
"1305",3140,0
"1306",3142,0
"1307",3143,0
"1308",3144,0
"1309",3145,0
"1310",3146,0
"1311",3148,0
"1312",3150,0
"1313",3153,0
"1314",3157,0
"1315",3159,0
"1316",3160,0
"1317",3161,0
"1318",3164,0
"1319",3165,0
"1320",3166,0
"1321",3167,0
"1322",3168,0
"1323",3170,0
"1324",3172,0
"1325",3173,0
"1326",3174,0
"1327",3175,0
"1328",3176,0
"1329",3177,0
"1330",3185,0
"1331",3189,0
"1332",3190,0
"1333",3199,0
"1334",3206,0
"1335",3207,0
"1336",3208,0
"1337",3213,0
"1338",3215,0
"1339",3216,0
"1340",3217,0
"1341",3219,0
"1342",3222,0
"1343",3225,0
"1344",3226,0
"1345",3227,0
"1346",3229,0
"1347",3230,0
"1348",3231,0
"1349",3232,0
"1350",3234,0
"1351",3235,0
"1352",3236,0
"1353",3237,0
"1354",3239,0
"1355",3247,0
"1356",3249,0
"1357",3251,0
"1358",3252,0
"1359",3253,0
"1360",3254,0
"1361",3255,0
"1362",3256,0
"1363",3257,0
"1364",3258,0
"1365",3259,0
"1366",3261,0
"1367",3263,0
"1368",3264,0
"1369",3265,0
"1370",3267,0
"1371",3268,0
"1372",3269,0
"1373",3270,0
"1374",3271,0
"1375",3275,0
"1376",3276,0
"1377",3278,0
"1378",3279,0
"1379",3280,0
"1380",3281,0
"1381",3283,0
"1382",3284,0
"1383",3286,0
"1384",3289,0
